Date,^FCHI,^FTSE,^GDAXI,^GSPC
2018-07-12,5405.899902,7651.299805,12492.969727,2798.290039
2018-07-13,5429.200195,7661.899901999999,12540.730469,2801.310059
2018-07-16,5409.430176,7600.5,12561.019531,2798.429932
2018-07-17,5422.540039,7626.299805,12661.540039,2809.550049
2018-07-18,5447.439941,7676.299805,12765.94043,2815.6201170000004
2018-07-19,5417.069824,7684.0,12686.290039,2804.48999
2018-07-20,5398.319824,7678.799805,12561.419922,2801.830078
2018-07-23,5378.25,7655.799805,12548.570313,2806.97998
2018-07-24,5434.189941,7709.100098000001,12689.389648,2820.399902
2018-07-25,5426.410156,7658.299805,12579.330078,2846.070068
2018-07-26,5480.549805,7663.200195,12809.230469,2837.439941
2018-07-27,5511.759765999999,7701.299805,12860.400391,2818.820068
2018-07-30,5491.220215,7700.899901999999,12798.200195,2802.600098
2018-07-31,5511.299805,7748.799805,12805.5,2816.290039
2018-08-01,5498.370117,7652.899901999999,12737.049805,2813.360107
2018-08-02,5460.97998,7575.899901999999,12546.330078,2827.219971
2018-08-03,5478.97998,7659.100098000001,12615.759766,2840.350098
2018-08-06,5477.180176,7663.799805,12598.209961,2850.399902
2018-08-07,5521.310059,7718.5,12648.19043,2858.449951
2018-08-08,5501.899902,7776.700195,12633.540039,2857.699951
2018-08-09,5502.25,7741.799805,12676.110352,2853.580078
2018-08-10,5414.680176,7667.0,12424.349609,2833.280029
2018-08-13,5412.319824,7642.5,12358.740234,2821.929932
2018-08-14,5403.410156,7611.600098000001,12358.870117,2839.959961
2018-08-15,5305.220215,7497.899901999999,12163.009766,2818.3701170000004
2018-08-16,5349.02002,7556.399901999999,12237.169922,2840.689941
2018-08-17,5344.930176,7558.600098000001,12210.549805,2850.1298829999996
2018-08-20,5379.649902,7591.299805,12331.299805,2857.050049
2018-08-21,5408.600098,7565.700195,12384.490234,2862.959961
2018-08-22,5420.609863000001,7574.200195,12385.700195,2861.820068
2018-08-23,5419.330078,7563.200195,12365.580078,2856.97998
2018-08-24,5432.5,7577.5,12394.519531,2874.689941
2018-08-27,5479.100098,,12538.30957,2896.73999
2018-08-28,5484.990234000001,7617.200195,12527.419922,2897.52002
2018-08-29,5501.330078,7563.200195,12561.679688,2914.040039
2018-08-30,5478.060059,7516.0,12494.240234,2901.1298829999996
2018-08-31,5406.850098,7432.399901999999,12364.05957,2901.52002
2018-09-03,5413.799805,7504.600098000001,12346.410156,
2018-09-04,5342.700195,7457.899901999999,12210.209961,2896.719971
2018-09-05,5260.220215,7383.299805,12040.459961,2888.600098
2018-09-06,5243.839844,7319.0,11955.25,2878.050049
2018-09-07,5252.220215,7277.700195,11959.629883,2871.679932
2018-09-10,5269.629883,7279.299805,11986.339844,2877.1298829999996
2018-09-11,5283.790039,7273.5,11970.269531,2887.889893
2018-09-12,5332.129883,7313.399901999999,12032.299805,2888.919922
2018-09-13,5328.120117,7281.600098000001,12055.549805,2904.179932
2018-09-14,5352.569824,7304.0,12124.330078,2904.97998
2018-09-17,5348.870117,7302.100098000001,12096.410156,2888.800049
2018-09-18,5363.790039,7300.200195,12157.669922,2904.310059
2018-09-19,5393.740234000001,7331.100098000001,12219.019531,2907.949951
2018-09-20,5451.589844,7367.299805,12326.480469,2930.75
2018-09-21,5494.169922,7490.200195,12430.879883,2929.669922
2018-09-24,5476.169922,7458.399901999999,12350.820313,2919.3701170000004
2018-09-25,5479.100098,7507.600098000001,12374.660156,2915.560059
2018-09-26,5512.72998,7511.5,12385.889648,2905.969971
2018-09-27,5540.410156,7545.399901999999,12435.589844,2914.0
2018-09-28,5493.490234000001,7510.200195,12246.730469,2913.97998
2018-10-01,5506.819824,7495.700195,12339.030273,2924.590088
2018-10-02,5467.890136999999,7474.600098000001,12287.580078,2923.429932
2018-10-03,5491.399902,7510.299805,,2925.51001
2018-10-04,5410.850098,7418.299805,12244.139648,2901.610107
2018-10-05,5359.359863000001,7318.5,12111.900391,2885.570068
2018-10-08,5300.25,7233.299805,11947.160156,2884.429932
2018-10-09,5318.549805,7237.600098000001,11977.219727,2880.340088
2018-10-10,5206.220215,7145.700195,11712.5,2785.679932
2018-10-11,5106.370117,7006.899901999999,11539.349609,2728.3701170000004
2018-10-12,5095.97998,6995.899901999999,11523.80957,2767.1298829999996
2018-10-15,5095.069824,7029.200195,11614.160156,2750.790039
2018-10-16,5173.049805,7059.399901999999,11776.549805,2809.919922
2018-10-17,5144.950195,7054.600098000001,11715.030273,2809.209961
2018-10-18,5116.790039,7027.0,11589.209961,2768.780029
2018-10-19,5084.660156,7049.799805,11553.830078,2767.780029
2018-10-22,5053.310059,7042.799805,11524.339844,2755.8798829999996
2018-10-23,4967.689941,6955.200195,11274.280273,2740.689941
2018-10-24,4953.089844,6963.0,11191.629883,2656.100098
2018-10-25,5032.299805,7004.100098000001,11307.120117,2705.570068
2018-10-26,4967.370117,6939.600098000001,11200.620117,2658.689941
2018-10-29,4989.350098,7026.299805,11335.480469,2641.25
2018-10-30,4978.529785,7035.899901999999,11287.389648,2682.6298829999996
2018-10-31,5093.439941,7128.100098000001,11447.509766,2711.73999
2018-11-01,5085.779785,7114.700195,11468.540039,2740.3701170000004
2018-11-02,5102.129883,7094.100098000001,11518.990234,2723.060059
2018-11-05,5101.390136999999,7103.799805,11494.959961,2738.310059
2018-11-06,5075.189941,7040.700195,11484.339844,2755.449951
2018-11-07,5137.939941,7117.299805,11579.099609,2813.889893
2018-11-08,5131.450195,7140.700195,11527.320313,2806.830078
2018-11-09,5106.75,7105.299805,11529.160156,2781.01001
2018-11-12,5059.089844,7053.100098000001,11325.44043,2726.219971
2018-11-13,5101.850098,7053.799805,11472.219727,2722.179932
2018-11-14,5068.850098,7033.799805,11412.530273,2701.580078
2018-11-15,5033.620117,7038.0,11353.669922,2730.199951
2018-11-16,5025.200195,7013.899901999999,11341.0,2736.27002
2018-11-19,4985.450195,7000.899901999999,11244.540039,2690.72998
2018-11-20,4924.890136999999,6947.899901999999,11066.410156,2641.889893
