Date,Open,High,Low,Close,Adj Close,Volume
2010-12-13,168.25,170.919998,167.899994,169.479996,147.103806,5325200
2010-12-14,169.669998,169.990005,166.839996,167.330002,145.23764,4892700
2010-12-15,166.639999,167.289993,165.110001,165.210007,143.397614,4358100
2010-12-16,165.690002,165.910004,163.210007,164.460007,142.746613,4164400
2010-12-17,163.919998,165,163.119995,164.039993,142.382065,5343000
2010-12-20,163.740005,166.899994,163.649994,166.050003,144.126678,3719100
2010-12-21,166.539993,168.880005,166.5,168.229996,146.018845,4546900
2010-12-22,168.669998,169.679993,167.899994,169.600006,147.207962,3858500
2010-12-23,169.100006,169.699997,167.169998,167.600006,145.472061,2494000
2010-12-27,166.789993,170,166.410004,169.830002,147.407593,2715000
2010-12-28,170,171.229996,168.830002,169.190002,146.852081,2862900
2010-12-29,169.399994,169.779999,166.570007,167.630005,145.498047,3329800
2010-12-30,168.089996,168.25,166.990005,167.639999,145.506714,1745400
2010-12-31,167.580002,168.800003,167.009995,168.160004,145.958084,1636300
2011-01-03,170.550003,173.25,169.850006,173.050003,150.202499,5717100
2011-01-04,173.869995,174,172,173.080002,150.228546,3335500
2011-01-05,172.050003,174.490005,172,174,151.027039,4140600
2011-01-06,174.509995,174.589996,171.979996,172.210007,149.473389,5375200
2011-01-07,172.699997,172.889999,169.360001,170.690002,148.154053,4916100
2011-01-10,170,171.289993,169.199997,169.759995,147.346848,3650300
2011-01-11,170.5,171.429993,168.320007,169.360001,146.999634,4572300
2011-01-12,169.389999,172.309998,169.179993,171.669998,149.0047,5592900
2011-01-13,172.039993,172.600006,171,171.570007,148.917908,3183800
2011-01-14,171.190002,175,171.190002,175,151.89502,5885100
2011-01-18,174.75,175.339996,173.050003,174.679993,151.617233,4981200
2011-01-19,169.460007,171.490005,165.860001,166.490005,144.508575,13372700
2011-01-20,166.550003,167.059998,164.009995,165.690002,143.814224,8914900
2011-01-21,165.880005,169.199997,165.119995,166.199997,144.256897,5876500
2011-01-24,165.990005,167.070007,165.75,166.300003,144.343674,4624300
2011-01-25,163.050003,164.789993,160.119995,161.979996,140.594009,11259800
2011-01-26,161.699997,162.839996,161.039993,161.309998,140.012543,6738000
2011-01-27,161.130005,164.25,161.110001,164.029999,142.373322,6036000
2011-01-28,164.160004,165.089996,161.419998,161.770004,140.411713,4570000
2011-01-31,161.380005,163.720001,161.229996,163.619995,142.017471,3792800
2011-02-01,163.860001,166.25,163.610001,165.330002,143.501709,4138400
2011-02-02,165.149994,166.639999,164.199997,165.050003,143.258698,2986200
2011-02-03,164.990005,164.990005,161.839996,164.639999,142.902817,4710400
2011-02-04,164.880005,164.979996,162.759995,164.830002,143.06778,3354500
2011-02-07,164.789993,168.100006,164.600006,167.130005,145.064102,5036700
2011-02-08,167.020004,168.720001,166.259995,168.550003,146.2966,4718700
2011-02-09,168.229996,168.229996,164.660004,166.009995,144.091934,5663900
2011-02-10,165.149994,166.649994,164.679993,165.339996,143.510422,4265800
2011-02-11,165.110001,167.690002,164.809998,166.660004,144.656097,4257100
2011-02-14,166.149994,167.800003,165.509995,167.520004,145.402557,3547200
2011-02-15,167.320007,168.440002,166.820007,167.910004,145.741074,4025900
2011-02-16,168.559998,169.899994,168,168.809998,146.522247,4606300
2011-02-17,168.539993,168.690002,167,167.160004,145.090118,4448100
2011-02-18,167.039993,168.300003,166.850006,168.039993,145.853928,3728100
2011-02-22,165.669998,165.759995,162.350006,162.940002,141.427307,5448200
2011-02-23,162.630005,164.800003,161.770004,163.089996,141.55748,4560400
2011-02-24,162.199997,163.899994,161.320007,163.440002,141.861282,4619300
